"hanyu","pinyin","english"
"衣服","yi1 fu0","clothes"
"年","nian2","year"
"大学","da4 xue2","college / university"
"饭店","fan4 dian4","big or formal restaurant / hotel"
"出租车","chu1 zu1 che1","taxi / cab"
"飞机","fei1 ji1","airplane"
"茶杯","cha2 bei1","teacup / cup / mug"
"电影院","dian4 ying3 yuan4","cinema / movie theater"
"里面","li3 mian4","inside / interior"
"明年","ming2 nian2","next year"
"前天","qian2 tian1","the day before yesterday"
"书店","shu1 dian4","bookstore"
"对不起","dui4 bu0 qi3","to be sorry"
"谢谢","xie4 xie0","to thank"
"再见","zai4 jian4","to see you around"
"叫","jiao4","to call / to be called"
"是","shi4","to be"
"有","you3","to have / there be"
"大","da4","old (of age)"
"说","shuo1","to speak / to say (literal)"
"做","zuo4","to make / to produce / to do"
"写","xie3","to write"
"读","du2","to read"
"请","qing3","please (polite)"
"去","qu4","to go"
"看","kan4","to look at / to watch / to read"
"喝","he1","to drink"
"吃","chi1","to eat"
"买","mai3","to buy / to purchase"
"在","zai4","to be in / on / at"
"工作","gong1 zuo4","to work"
"坐","zuo4","to sit / to take (transport...)"
"吃饭","chi1 fan4","to eat a meal"
"回","hui2","to return"
"住","zhu4","to live / to stay"
"下雨","xia4 yu3","to rain"
"下","xia4","to fall (of rain, snow, etc.)"
"来","lai2","to come"
"爱","ai4","to love / to like "
"学习","xue2 xi2","to learn / to study"
"睡觉","shui4 jiao4","to sleep"
"喜欢","xi3 huan1","to like / to be fond of"
"打电话","da3 dian4 hua4","to make a phone call"
"看见","kan4 jian4","to see (have seen, catch sight of)"
"开","kai1","to dirve / to start / to open"
"回来","hui2 lai2","to come back"
"认识","ren4 shi0","to meet / to know"
"听","ting1","to listen"
"打车","da3 che1","to take a taxi"
"开车","kai1 che1","to drive a car"
"做饭","zuo4 fan4","to cook / to prepare a meal"
"想","xiang3","to think"
"好","hao3","good / fine"
"小","xiao3","small / little"
"热","re4","hot"
"冷","leng3","cold"
"漂亮","piao4 liang0","beautiful / pretty"
"少","shao3","few / little / less"
"不少","bu4 shao3","quite a few / many"
"高兴","gao1 xing4","glad / happy"
"你","ni3","you (singular)"
"你们","ni3 men0","you (plural)"
"什么","shen2 me0","what"
"我","wo3","I / me"
"她","ta1","she / her"
"谁","shei2","who / whom"
"哪","na3","which"
"他","ta1","he / him"
"几","ji3","how many (small amounts)"
"怎么","zen3 me0","how (indicative nature, condition or manner, etc)"
"这","zhe4","this"
"多少","duo1 shao0","how many / how much"
"那","na4","that"
"那儿","nar4","there (northeast)"
"哪儿","nar3","where (northeast)"
"这儿","zher4","here (northeast)"
"我们","wo3 men0","we / us"
"怎么样","zen3 me0 yang4","how (indicating nature, condition or manner)"
"这些","zhe4 xie1","these"
"一","yi1","one / 1"
"二","er4","two / 2"
"三","san1","three / 3"
"四","si4","four / 4"
"五","wu3","five / 5"
"六","liu4","six / 6"
"七","qi1","seven / 7"
"八","ba1","eight / 8"
"九","jiu3","nine / 9"
"十","shi2","ten / 10"
"岁","sui4","year (of age)"
"个","ge4","a general classifier"
"块","kuai4","currency unit (colloquial)"
"块","kuai4","classifier for chunk"
"本","ben3","a classifier for books"
"点","dian3","o'clock / point"
"分","fen1","minute (for exact time)"
"些","xie1","some / a few"
"一点儿","yi4 dianr3","a few / a little"
"会","hui4","can (know how to) / (will / going to)"
"想","xiang3","to want / would like / to miss"
"能","neng2","can (to be able to) / may"
"不","bu4","no / not"
"没","mei2","have not / not (past)"
"多","duo1","indicating degree or extent"
"很","hen3","very / quite"
"没有","mei2 you3","to not have / there is not"
"太","tai4","too / excessively"
"太···了","tai4 le0","too / extremely"
"都","dou1","both / all"
"在","zai4","indicating action in progress"
"在","zai4","in / on / at"
"和","he2","and (between nouns)"
"吗","ma0","used at the end of a (yes-no) question"
"的","de0","used after an attribute, possessive particle, forming a noun phrase or nominal expression"
"呢","ne0","used at the end of a (tentative / expected response) question"
"了","le0","used at the end of or in the middle of a sentence to indicate a change or a new circumstance"
"喂","wei4","hello / hey"
"李月","li3 yue4","Li Yue (name of a person)"
"中国","zhong1 guo2","China"
"美国","mei3 guo2","United States of America"
"王方","wang4 fang1","Wang Fang (name of a person)"
"谢朋","xie4 peng2","Xie Peng (name of a person)"
"北京","bei3 jing1","Beijing, capital of China"
"大卫","da4 wei4","David"
"张","zhang1","Zhang, a Chinese family name"
"没关系","mei2 guan1 xi0","that's OK / it doesn't matter"
"不客气","bu2 ke4 qi0","you're welcome / don't mention it"
